,company,weight,OS,ram,processor,processor_speed,screen_size,screen_type,touch_screen,price,height_resolution,width_resolution
2914,Dell,1.65,Windows,8.0,Intel Core i5,3100.0,15.6,LCD,0.0,3459.0,1920.0,1080.0
2915,Dell,1.57,Windows,16.0,Intel Core i7,2400.0,15.6,LED,0.0,4605.0,1920.0,1080.0
2916,Dell,2.42,Windows,32.0,Intel Core i7,2300.0,17.0,LCD,1.0,13839.0,3840.0,2400.0
2917,Dell,2.57,Windows,16.0,Intel Core i7,2300.0,15.6,LED,0.0,5330.0,1920.0,1080.0
2919,Dell,1.32,Windows,16.0,Intel Core i7,2800.0,13.4,LCD,1.0,12336.0,3840.0,2400.0
2921,Asus,1.17,Windows,16.0,Intel Core i5,3200.0,14.0,LCD,0.0,4105.0,1920.0,1080.0
2922,Asus,1.17,Windows,16.0,Intel Core i5,3200.0,14.0,LCD,0.0,3889.0,1920.0,1080.0
2923,Lenovo,1.6,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2590.0,1920.0,1080.0
2924,Lenovo,1.9,Windows,16.0,AMD Ryzen 5,3300.0,16.0,IPS,0.0,4379.0,2560.0,1600.0
2925,Asus,1.9,Windows,16.0,Intel Core i7,3300.0,15.6,LCD,1.0,6700.0,1920.0,1080.0
2926,Asus,1.9,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,1.0,6979.0,1920.0,1080.0
2927,Asus,1.9,Windows,16.0,Intel Core i7,2800.0,15.6,LCD,1.0,7489.0,1920.0,1080.0
2928,Lenovo,1.5,Windows,16.0,Intel Core i5,2400.0,14.0,IPS,1.0,4040.0,1920.0,1080.0
2929,Lenovo,2.4,Windows,16.0,Intel Core i7,2300.0,15.6,IPS,0.0,6007.0,2560.0,1440.0
2930,Dell,1.59,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2663.0,1920.0,1080.0
2931,Asus,1.17,Windows,16.0,Intel Core i7,2800.0,14.0,LCD,0.0,4721.0,1920.0,1080.0
2932,Lenovo,2.25,Windows,16.0,Intel Core i5,3100.0,15.6,IPS,0.0,4140.0,1920.0,1080.0
2933,Lenovo,2.25,Windows,16.0,Intel Core i7,2000.0,15.6,IPS,0.0,4763.0,1920.0,1080.0
2934,Lenovo,2.4,Windows,16.0,Intel Core i7,2300.0,15.6,IPS,0.0,5349.0,2560.0,1440.0
2935,Asus,2.6,Windows,16.0,Intel Core i7,2300.0,17.3,LCD,0.0,5410.0,1920.0,1080.0
2936,Lenovo,2.4,Windows,16.0,Intel Core i7,2300.0,15.6,IPS,0.0,5325.0,2560.0,1440.0
2939,Lenovo,2.25,Windows,16.0,Intel Core i7,3300.0,15.6,IPS,0.0,4163.0,1920.0,1080.0
2940,Dell,1.65,Windows,16.0,Intel Core i7,2800.0,13.3,LCD,0.0,8280.0,1920.0,1080.0
2941,Dell,1.16,Windows,16.0,Intel Core i7,2800.0,13.3,LCD,0.0,7290.0,1920.0,1080.0
2942,Asus,1.6,Windows,8.0,Intel Core i3,3000.0,14.0,LCD,0.0,2190.0,1920.0,1080.0
2943,Asus,1.9,Windows,32.0,AMD Ryzen 9,3060.0,15.6,LCD,0.0,8746.0,2560.0,1440.0
2944,Asus,2.4,Windows,32.0,Intel Core i7,2300.0,16.0,OLED,0.0,12290.0,3840.0,2400.0
2945,Lenovo,1.13,Windows,4.0,Intel Pentium Silver,1100.0,11.6,IPS,1.0,2090.0,1920.0,1080.0
2946,Dell,2.57,Windows,16.0,Intel Core i7,2300.0,15.6,LED,0.0,6490.0,1920.0,1080.0
2947,Dell,1.23,Windows,16.0,Intel Core i7,2800.0,13.3,LCD,1.0,7944.0,3840.0,2160.0
2948,Dell,2.51,Windows,64.0,Intel Core i9,2600.0,17.3,LCD,1.0,17388.0,3840.0,2400.0
2949,Asus,1.9,Windows,32.0,Intel Core i9,2500.0,16.0,LCD,0.0,13315.0,2560.0,1600.0
2950,Dell,1.79,Windows,8.0,Intel Core i7,2800.0,15.6,LCD,0.0,3682.0,1366.0,768.0
2951,Lenovo,1.36,Windows,8.0,Intel Core i5,2400.0,14.0,IPS,0.0,4439.0,1920.0,1080.0
2952,Dell,1.57,Windows,16.0,Intel Core i7,3300.0,15.6,LED,0.0,4454.0,1920.0,1080.0
2953,Dell,1.57,Windows,16.0,Intel Core i7,2400.0,15.6,LED,0.0,3982.0,1920.0,1080.0
2954,Dell,1.65,Windows,16.0,Intel Core i7,3300.0,15.6,LCD,0.0,4912.0,1920.0,1080.0
2955,Dell,1.65,Windows,16.0,Intel Core i7,3300.0,15.6,LCD,0.0,4683.0,1920.0,1080.0
2956,Dell,1.69,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,3139.0,1920.0,1080.0
2957,Asus,1.17,Windows,16.0,Intel Core i7,3200.0,14.0,LCD,0.0,4489.0,1920.0,1080.0
2958,Dell,1.52,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,1.0,4288.0,1920.0,1080.0
2960,Asus,1.14,Windows,16.0,Intel Core i7,2800.0,13.3,OLED,0.0,3863.0,1920.0,1080.0
2964,Dell,2.51,Windows,16.0,Intel Core i7,2400.0,15.6,LED,0.0,6408.0,1920.0,1080.0
2966,Asus,1.55,Windows,16.0,Intel Core i7,2800.0,14.0,IPS,0.0,3400.0,1920.0,1080.0
2967,Lenovo,1.9,Windows,16.0,AMD Ryzen 7,3200.0,16.0,IPS,0.0,5365.0,2560.0,1600.0
2968,Lenovo,1.8,Windows,16.0,Intel Core i7,2800.0,15.6,IPS,1.0,5139.0,1920.0,1080.0
2969,Dell,1.43,Windows,16.0,Intel Core i5,3200.0,14.0,LED,0.0,4288.0,1920.0,1080.0
2972,Lenovo,1.46,Windows,32.0,AMD Ryzen 7 PRO,2400.0,14.0,IPS,0.0,5889.0,3840.0,2160.0
2981,Asus,1.3,Windows,8.0,AMD Ryzen 5,2400.0,14.0,LCD,0.0,2990.0,1920.0,1080.0
2982,Acer,1.49,Windows,8.0,Intel Core i5,2400.0,14.0,IPS,0.0,2348.0,1920.0,1080.0
2984,Asus,1.4,Windows,8.0,Intel Core i7,2400.0,14.0,LED,0.0,2249.0,1920.0,1080.0
2986,Lenovo,1.7,Windows,8.0,AMD Ryzen 5,2400.0,15.6,LCD,0.0,1530.0,1920.0,1080.0
2987,Dell,1.54,Windows,16.0,Intel Core i7,2400.0,14.0,LCD,0.0,5290.0,1920.0,1200.0
2988,Gigabyte,1.99,Windows,16.0,Intel Core i5,2400.0,15.6,LCD,0.0,5000.0,1920.0,1080.0
2990,Dynabook,1.65,Windows,16.0,Intel Core i7,2400.0,13.3,IPS,1.0,6526.0,1920.0,1080.0
2991,Dynabook,1.65,Windows,16.0,Intel Core i7,2400.0,13.3,IPS,1.0,7192.0,1920.0,1080.0
2992,Dynabook,1.65,Windows,32.0,Intel Core i7,2400.0,13.3,IPS,1.0,7413.0,1920.0,1080.0
2993,Dynabook,1.65,Windows,32.0,Intel Core i7,2400.0,13.3,IPS,1.0,11079.0,1920.0,1080.0
2994,Dynabook,1.9,Windows,32.0,Intel Core i7,2400.0,15.6,IPS,0.0,6969.0,1920.0,1080.0
2995,Dynabook,1.65,Windows,32.0,Intel Core i7,2400.0,13.3,IPS,1.0,8078.0,1920.0,1080.0
2996,Asus,1.85,Windows,8.0,Intel Core i3,2400.0,15.6,LCD,0.0,1535.0,1920.0,1080.0
2999,Asus,1.5,Windows,8.0,Intel Core i5,2400.0,14.0,OLED,1.0,4420.0,2880.0,1800.0
3000,Microsoft,1.3,Windows,16.0,Intel Core i7,2400.0,13.5,LCD,1.0,9462.0,2256.0,1504.0
3001,Lenovo,1.65,Windows,16.0,Intel Core i7,2400.0,15.6,LCD,0.0,2989.0,1920.0,1080.0
3002,Asus,2.5,Windows,16.0,Intel Core i9,2400.0,16.0,IPS,0.0,10490.0,2560.0,1600.0
3006,Gigabyte,1.9,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,4690.0,1920.0,1080.0
3007,Asus,2.6,Windows,32.0,Intel Core i7,2400.0,17.3,LCD,0.0,4976.0,1920.0,1080.0
3009,Dell,1.59,Windows,16.0,Intel Core i7,2400.0,15.6,LCD,0.0,6248.0,1920.0,1080.0
3010,Dell,1.69,Windows,16.0,Intel Core i5,2400.0,15.6,LED,0.0,2890.0,1920.0,1080.0
3011,Acer,1.9,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,1620.0,1920.0,1080.0
3012,HP,1.75,Windows,16.0,Intel Core i5,2400.0,15.6,IPS,0.0,3990.0,1920.0,1080.0
3013,Samsung,1.79,Windows,16.0,Intel Core i7,2400.0,16.0,LED,0.0,8890.0,2880.0,1800.0
3014,Dell,1.5,Windows,8.0,Intel Core i5,2400.0,14.0,LED,0.0,2200.0,1920.0,1080.0
3015,Asus,2.5,Windows,32.0,Intel Core i9,2400.0,16.0,IPS,0.0,10389.0,2560.0,1600.0
3016,Asus,2.2,Windows,32.0,Intel Core i9,2400.0,15.6,IPS,0.0,8832.0,1920.0,1080.0
3020,Asus,1.85,Windows,16.0,Intel Core i5,2400.0,15.6,IPS,0.0,2199.0,1920.0,1080.0
3023,HP,1.65,Windows,16.0,Intel Core i5,2400.0,15.6,IPS,0.0,5193.0,1920.0,1080.0
3025,Asus,2.6,Windows,16.0,Intel Core i7,2400.0,15.6,IPS,0.0,4449.0,1920.0,1080.0
3026,Asus,2.0,Windows,32.0,Intel Core i9,2400.0,16.0,LCD,0.0,11368.0,2560.0,1600.0
3027,Dynabook,1.9,Windows,16.0,Intel Core i7,2400.0,15.6,IPS,0.0,4830.0,1920.0,1080.0
3028,Asus,1.7,Windows,4.0,Intel Core i3,1200.0,15.6,LCD,0.0,2118.0,1366.0,768.0
3032,HP,1.28,Windows,8.0,Intel Core i7,2400.0,13.3,IPS,0.0,3340.0,1920.0,1080.0
3033,Asus,1.39,Windows,16.0,Intel Core i7,2400.0,14.0,OLED,0.0,6621.0,2880.0,1800.0
3034,Asus,1.75,Windows,16.0,Intel Core i5,2400.0,15.6,IPS,0.0,4249.0,1920.0,1080.0
3037,Acer,2.6,Windows,16.0,Intel Core i7,2400.0,16.0,IPS,0.0,10290.0,2560.0,1600.0
3038,Gigabyte,1.9,Windows,8.0,Intel Core i5,2400.0,15.6,LCD,0.0,4290.0,1920.0,1080.0
3039,Asus,1.4,Windows,16.0,Intel Core i5,2400.0,14.0,LCD,0.0,3097.0,1920.0,1080.0
3040,Asus,1.4,Windows,8.0,Intel Core i5,2400.0,14.0,LCD,0.0,2899.0,1920.0,1080.0
3042,Lenovo,1.65,Windows,16.0,Intel Core i5,2400.0,15.6,LED,0.0,2299.0,1920.0,1080.0
3045,Lenovo,1.65,Windows,16.0,Intel Core i7,2400.0,15.6,IPS,0.0,5630.0,1920.0,1080.0
3046,Asus,1.5,Windows,8.0,Intel Core i5,2400.0,14.0,OLED,1.0,3990.0,2880.0,1800.0
3050,Asus,1.65,Windows,32.0,Intel Core i9,2400.0,14.5,OLED,1.0,10490.0,2880.0,1800.0
3051,Lenovo,1.5,Windows,16.0,Intel Core i7,2400.0,14.0,IPS,1.0,5290.0,1920.0,1080.0
3052,Asus,2.5,Windows,32.0,Intel Core i9,2400.0,16.0,LED,0.0,18890.0,2560.0,1600.0
3053,Asus,1.7,Windows,16.0,Intel Core i9,2400.0,15.6,OLED,0.0,5489.0,2560.0,1440.0
3054,Samsung,1.17,Windows,16.0,Intel Core i7,2400.0,14.0,OLED,0.0,7190.0,2880.0,1800.0
3055,Samsung,1.56,Windows,16.0,Intel Core i7,2400.0,16.0,OLED,0.0,7590.0,2880.0,1800.0
3059,HP,1.27,Windows,16.0,Intel Core i7,2800.0,13.3,OLED,0.0,7998.0,3840.0,2160.0
3060,Dell,1.84,Windows,16.0,Intel Core i7,2300.0,15.6,LCD,0.0,8990.0,1920.0,1080.0
